YOGURT missing on the trays-For breakfast service yogurt was missing in all trays.-Menu states that we should have yogurt on the breakfast tray.,Catering-Food
"Yogurt missing from breakfast trays.- During breakfast service, crew informed me that approximately eight trays were missing the yogurt.",Catering-Food
Yogurt consistency -Customer complaint that the yogurt(on breakfast tray) is watery and residues built up underneath.-Yogurt brand: Zottis yogurtCustomer info: yolly-airoldi@hispeed.ch,Catering-Food
Yogini displayed very good team sprit on this journey.We had no customers in first class and she participated in all the services in economy class.Her colleagues were appreciative of her support to the team.,Cabin Crew-Compliments
YOGHURT NOT LOADED ON BREAKFAST TRAYSPlease be informed that yoghurt was not loaded on EY meal trays for the breakfast service.Yoghurt is featured in the EY menu. 2 customers had inquired and crew explained that it is not loaded and apologised.,Catering-Food
Yoghurt not available on the tray as per the menu.,Catering-Food
"customer informed Cabin Supervisor that the Amarula Cream had expired.Code on bottle reads: 11 1 17 EAll remaining bottles in Y/C and J/C checked. Same code on all bottles except one bottle, which read: 1 11 17 C",Catering-Food
"CATERING FEEDBACK- Before landing, I asked Mr. Denisse if he had any feedback for the company or anything he would like to see different.- Mr. Denisse stated that over the past couple years, the Y/C appetiser on the tray has gradually become ""less luxurious"" (e.g. no more salmon and potato salad), and more and more ""bird seed"" (e.g. quinoa and barley).- The appetisers have become ""very poor"" in his words.- He stated that some ""salmon or chicken"" would be nice.",Catering-Food
SPML request.Please uplift AVML for customer for her on ward connection.,Catering-Food
Ginger ale on high demand.High demand for ginger ale. Please uplift more or these sectors.,Catering-Food
Cake provided from MXP-Customer Mr Augusto Lotorto seated on 17C was provided with a cake by MXP catering. -No special request on KIS/PIL for cake.,Catering-Food
CLASS CREW MEAL 6 BEING PUMPKING RAVIOLI- Y class crew complained that 6/8 crew meals were pumpkin ravioli,Catering-Food
Wrong SPML provided.- The customer was provided with a VLML tray and desert but the Hot meal was NLML.- The provided NLML was a chicken breast served with rice.- Due to the customers dietary requirements she could not eat it and crew member offered a crew hot meal (pumpkin ravioli).- No complaints was received from the customer.,Catering-Food
"WRONG MENU TERM-Meal is described as ""BARBECUE BEEF SHORT RIBS"" but the beef looks more of a steak than ribs.-Customer was unhappy stating that menu was misleading.",Catering-Food
"Wrong meal choice-During breakfast service, cabin crew Aldo noticed 5 meals that weren't from the menu.-Breakfast menu options were omelette and scrambled eggs, and one oven insert was full of chicken.",Catering-Food
Wrong loading of canape. Menu says hummus with lamb Baharat but we were loaded with hummus only and rice balls instead,Catering-Food
Wrong dessert catered Dessert on the menu for this sector was chocolate tart.Dessert actually catered was an Arabic cream pastry (same  as the DXB-KWI sector),Catering-Food
"would like to highlight the performance of my team on this flight .Crew members in economy were all brilliant.Crew members were very happy, smiley always and working hard without me asking them.We had issues with the luggage on those sectors and the purser requested from economy crew to be very efficient to make sure all customers are seated to close the doors, and the crew worked so hard to make customers sit down with all the bags secured in the hatrack.Crew were helping each other without hearing that's my side or that's your side.Crew were always preparing things in the galley without me tempting them.The other CSV Ramya gave feedback as well that they are all amazing.",Cabin Crew-Compliments
"Would like to compliment all economy crew members for their hard work , showed good team spirit through out the trip.Challenges which they encounter were,Turbulence,Handle Medical case. EK Standards were met . On a full cabin.All above challenges were not only encounter with utmost professionalism despite the fact of one crew short in economy.",Cabin Crew-Compliments
Would like to cancel spml order,Catering-Food
Would like to cancel her vgml from her profile,Catering-Food
"WORKING OUT OF GRADE: ASSISTING IN OTHER CABINS-This is to document Mohamed's positive contribution to this flight and highlight how he has been of great support to his colleagues-Mohamed is a Business class crew member and has been rostered to work in the Economy cabin for this month of January-He came to the briefing prepared and ready for the flight where he had familiarised himself with the service and volunteered to operate the Economy class mid-galley-He was very comfortable and efficient with it: ran galley checks promptly, communicated with his senior with what was available in his galley and most importantly had all service items prepared well in time before boarding-During the flight, Mohamed made it his responsibility to have everything ready for his colleagues to go in the cabin: he was 2 steps ahead of services steps which allowed him to even take a cart into the cabin and help his colleagues with a full flight-He made sure he took the cart that kept him closer to the galley so he could assist with refilling bars, assisting his colleagues with special requests during the service-He was certainly one of the busiest crew members in the cabin-After finishing the service in Y. class, Mohamed went to help in J. class where he was seen clearing food items, trays and preparing drinks, etc-He was not asked to do so and later shared that ""I know how busy the service can be in Business class so I wanted to help my colleagues""",Cabin Crew-Compliments
WORKED OUT OF GRADE-Noraen worked efficiently in JC with the rest of the crew.-He took the initiative to learn the fine details which make our JC cabins so desirable to work in.-His buddy and his peers were happy to be working with him.,Cabin Crew-Compliments
WL -CHML not on board,Catering-Food
"Without being asked he took out a foundation bag and placed in the CWS for the purser.He was observed spending a lot of time with children throughout the flight and used the camera several times to make someone's day even before top of descent.He was a great team worker and assisted his colleaguesHe visited every galley and had conversation with crew from business class and first classHe organized a meal for one crew who could not eat the only option left, she was really surprised.He asked a lot of questions about first class product and showed a genuine interest for first class productsHe introduced himself to the UM and looked after her throughout the flight.He made conversation with her and entertained her.He had a great and positive body language and all crew got really along with him.His smile and his positive attitude and his great communication skills make him a great asset for Emirates",Cabin Crew-Compliments
Without being asked he took out a foundation bag and placed in the CWS for the purser.He was observed spending a lot of time with children throughout the flight and used the camera several times to make children day even before top of descent.He was a great teamworker and assisted his colleaguesHe visited every galley and had conversation with crew from business class and first class,Cabin Crew-Compliments
With immediate effect please cancel the LCML on the customers profile as this is not required anymore.,Catering-Food
"Wine Menu-The port wine showing reflecting on the menu in F/Class is 1992, however we had 1963 loaded.-This was served to customer and he was very happy.",Catering-Food
WILTED GARNISH.- The basil loaded for garnish was wilted and appeared black in colour.,Catering-Food
"WHITE WINE FEEDBACK.- Miss Cobbold had a sip of  the Henri de Villamont Chassagne-Montrachet 1er Cru Morgeot 2011, Burdundy from France (white wine) and she didn't like the taste at all.- She described the taste as corked.",Catering-Food
While receiving feedback from Ms Habib she mentioned that that quality of the food in EK is gone down considerably.During the flight she had only cold cuts that to upon crew insisting on her eating as she hungry .She also added that her kids who were travelling with her from BEY-DXB were not happy about the child meal they received.,Catering-Food
"While preparing for landing Mr. Zachariah  Saad hand me over a note that was stated the following : ""the service that Carly provided was 150% fantastic. Very friendly and caring, I believe that she is an asset to Emirates.I will travel on Emirates again because of her service. Thank you Zachariah Saad seat 61J""This note was about cabin crew Carly 435127",Cabin Crew-Compliments
While Hazel was doing her rotation a she engaged one of the customers who was standing at the aft toilet. The customer was pleased with the work she was doing and came to tell me about.,Cabin Crew-Compliments
