description,subcategory
-The customer seemed not happy and asked if slippers are available in the flight. -Customer stated that slippers always offered in the Russian airlines. -No further requests from the customer till end of the flight., Economy Class
------JC dinner linen ------ - Only cutlery linen ( Small square linen ) were loaded on the flight,Loading
*** Inefficiencies while delivering the linen ***,JC Prod / Service
"---- Baby bassinet ---- - Due to a shortcut and the captain requested the checks, crew were not able to remove baby bassinet however the baby was secured on the mother's lap with infant seat belt.",Cabin Management
* The OM-E has not been updated with the latest (current) ACIs;,OME Braille W.Stmt
"------ Extra miles ------ - Mr. Alhazani requested to have his dinner hot meal for breakfast as he preferred to have a big meal for his savour. - For dinner, Mr. Alhazani asked the crew to be the last one to collect his order to check what meals were left as he aware that meals can't be reheated and crew are not allowed to reserve two meal options for the same customer.",Business Class
"------- KSML quality ------- - Mr. Kriel was very unhappy with the KSML quality. - Mr. Kriel stated "" I pay 15 AED in Dubai and I get a nice meal, and here I'm paying 17000 and I'm getting that food that my dog won't eat."" - Mr. Kriel stated "" I like EK airlines, everything is amazing but that is not the food that can reflect the company. It's not edible"". - Mr. Kriel stated that the food was not tasty and the rice was not good at all"" - Mr. Kriel stated "" I know it's not your fault but emirates needs to send a strong message to carting to fix that."" - On the meal box, expired date was Nov 2018, but mentioned on the same information sticker ( Not Passover 07-03-2018/07-04-2018. - Contact details: ross.kriel@mescat.engie.com",Food
** Customer was upset as her IFE screening work the entire flight.** -Flight had forty five seats vacant. - Customer was travelling with family on 19HJK. - Seat next to her was vacant and working. - Customer refused to move seat. - Ms. Shamlian kept mentioning that she wanted a refund for the money she paid for the seat.,Economy Class
-Customer informed crew member Olena staff #448195 that she did pay for the seat and requested a window seat. -The window by seat #26A not next to the customer seat as it is an exit seat. -Before the meal service customer was observed by myself drinking from her own bottle. -Customer stated that she has not heard the PA then stated that it is her first time to travel with Emirates and lastly she stated that she did not want to bother the crew cause the cabin crew seem busy. -During the meal service the customer asked me about her skywards number,Economy Class
-Crew members Kristina Kotlenikova staff # 448641 and Vivek Panchal staff # 451589 were informed with the rest of the crew that boarding started first by CSV Debora by PA. -Before I left the Aft galley i reminded all the crew to go to the cabin for boarding. -During boarding I noticed that the two crew members were not in the cabin. -I went to the Aft galley and found Vivek eating and Kristina using her mobile phone.,Complaints
* All F/C customers were welcomed back by the door and escorted to their suites; * The PUR introduced himself to all customers; * The customers were monitored until the end of the flight and all service requests were met; * Customers' satisfaction with the flight was confirmed on the top of descent; * All customers thanked the crew for the flight on disembarkation;,First Class
