description,sentiment,PCategory,confidence
 KIS charger belonging to crew Anna 404481 left on board the aircraft in Durban.,neutral,KIS/MOD,Please manually Review
"  MOD was not used for taking orders.  MOD was used during boarding for crew to refer to customers' names and seats.  After take off, it was showing that flight was not downloaded on KIS tablets and MODs.  Tried 3 KIS tablets, still didn't find any menu items.   Flight was closed on Purser's KIS tablet and shared with all MODs via Net gear.",negative,KIS/MOD,0.9864024364591076
"Unable to Assign MFP s from Elitepad Followed the process for assigning MFP s in briefing ex DXB. No reviewers were displayed automatically to the R/H of 'My Flight Performance' screen upon selecting any of the available MFP s. Pur was unable to assign any of the MFP s from the Pur Elitepad. MFP for CSV Alina Popa, 409294, remained unassigned due to the above issue. Elitepad number: TB3081613827",negative,Cabin Crew,0.6184020450544206
  USB Cable Missing  The KISronter USB cable was not available.A6 EGZPrinter s/n PR1041723879,negative,Aircraft Development,0.9806501932586665
"   MOD application issues     After open the application appeared a message asking to manually setup the zone/service.  Crew was also not able to select particularly zone on the MOD (left, right or sweetheart) individually.",neutral,KIS/MOD,0.9847826735090002
    Only breakfast trays/meals loaded for flight deck    ,negative,Catering,1.0
There was only 01 Steamed Cod with Tarragon sauce loaded in FC (which was also the healthy option on the menu card).Two customers in FC wanted to have that option but we had to apologize and offer alternative choices due to shortage (choice unavailable).,negative,Product Development,0.7218381960988152
Incorrect cateringThere were 2 customers in FC and no special meal pre ordered.Catering loading was 1 SFML and 1 set of each meal for one customers.,neutral,Catering,0.7853606752940973
  Meal choice shortage.  The ratio of meals uplifted was 60% lamb and 40% chicken.  Ran short of almost 30 Chicken meals as it was the more popular then the lamb.  Suggest   uplifting 60% chicken and 40% lamb on this flight.,negative,Catering,0.9867175247581906
Dirty Cutlery  Crew stated to me that most of the cutlery was found dirty/ not cleaned properly.,neutral,Product Development,Please manually Review
   Unhappy with IFE     Customer was unhappy with IFE system because it was not touch screen.  She was also unhappy that it was old aircraft.,negative,Service Recovery,0.9883448956240308
Customer's seat was unable to get reclined.Mr.Meyrat claimed he is unhappy because he paid extra money for the specific seat in front of emergency exit.,neutral,Service Recovery,0.9214289334333692
 Did not receive meal choice  customer did not receive meal choice of chicken,neutral,Service Recovery,0.5826476135365949
"Customer's seat would not remain reclined.  Mr Gupta advised cabin crew on ground that when he reclined his seat it would return to the upright position.  Cabin Crew advised the Purser immediately, who in turn called for Engineering. The engineering team did not arrive at the aircraft before the final cabin door closure.",positive,Safety,0.9787611024468571
