Cash Upgrade Not showing as skywards member Mr Mermit paid cash.,Aircraft Development
"We had one customer in FC on this sector.He was welcomes and escorted to his seat.He enjoyed short breakfast, and was looking forward to his connecting trip to Houston.No suggestions or complaints were received.",Aircraft Development
Water leak  In flight water started leaking from an unknown source from mid YC galley.  Floor at row 38DEFG was soaked.,Aircraft Development
VGML RequestCustomer forgot to order,Aircraft Development
"Verbal abuse  During descent , Customer was having espresso in the lounge.  I approached customer enquiring about his flight experience . Customer stated that we had a great crew . Crew Jasna Preseli 416919 was standing in the lounge . I asked crew if she is ready for landing . Jasna stated that she is waiting for customer. Customer stated to Jasna Using Arabic phrases calling her by what means "" Daughter of the dog "". Customer stated to Jasna that he speaks too little Arabic and asked her to repeat what he said . ",Aircraft Development
"USE OF MOBILE DEVICE ON BOARD: After the lunch service, during the we care cycle,Stephanie was observed using her mobile phone in the upper deck ,economy class galley.",Aircraft Development
"USE OF LAVATORIES DURING HEAD COUNT AND BAGGAGE ID While head count was conducted, Mr Hosseini requested from crew Christine #444339 to use the lavatory. Crew politely explained to customer the procedure we are in reminding him the PA that was made requesting customers' cooperation. Mr Hosseini tried to use the lavatory during the security search and baggage id and crew had to oblige customer to comply. During cleaning, cleaners knocked on the toilet door that Mr Hosseini was using, and this made customer get out of the lavatory and speak loud and aggressive to the crew Christine that was at her station next to the lavatory. During the safety video Mr Hussein was standing in the middle of the cabin and crew had to requested  customer to remain seated for the safety video.",Aircraft Development
"UNHAPPY CUSTOMERS BECAUSE OF SHORTAGE OF CHICKEN CHICKEN UNAVAILABLE  more than 15 customers requested for chicken as their hot meal option, however we could not accommodate everyone's request  customers seated in 33ABC were very upset that they did not get their chicken request  ms. Ansari, seated in 33B and customer at 35D were given chicken meal from J class, the only ones that were available. Customer at 35D appreciated the effort and took the chicken.  when talking to them, mr. Ansari seated in 33A started shouting at me stating "" we want chicken and don't want to eat anything else and you don't do anything about it"" "" emirates standards are going down""  I explained politely that we have done our best to find their preferred option and unfortunately only one extra chicken was available",Aircraft Development
"Unhappy Customer Mr Uga found a piece of paper at the side of his seat during boarding. After few minutes, he claimed that his Evian water bottle in the mini bar was opened. He informed CM Pawel regarding the issues. After take off, he commented that his seat doesn't go flats bed to Purser Nedjm.",Aircraft Development
Two duty free items were missing.Items numbers: 2061  drawer 51903   drawer6Duty free cart number: 1052.,Aircraft Development
"This report to highlight the excellent performance of Colette 450898.Colette arrived early to briefing introduced her self to seniors and hand over documents for check.During briefing was interactive and shared her previous experience for the flight.Colette answered safe talk with confidence.During boarding was observed smiling in the cabin, welcoming and assisting any customer in need.During service and after finishing her cart Colette double ended with other crew .Colette was observed in few occasions helping her colleagues voluntarily,In preparation for landing Colette sealed the galley and had blanket bags ready for all crew also went to the cockpit and offer them last drink before landing.Collette effort on the flight was highlighted to me by her colleagues and observed by me.",Aircraft Development
This report is not related payroll.As my K.I.S did not uplifted the data fully all the position allocated to the crew are not up to date.,Aircraft Development
This report is not related Hotel feedback its related reporting On time for pick up at layover.Ms.Gheany reported late for pickup and few crew and Me and Captain were worried.Luckily no bus involved for commuting we did not face any inconvenience.,Aircraft Development
"The ideal Crew member  I have just had the pleasure of flying with Elena to JED.  She was so proactive  she prepared all the drawers of drinks on ground for both sectors, she organised and tidied the galley  all without being asked.  Elena was always smiling and assisting her colleagues and displayed positive body language at all times.  She was alwaus available for customers and her colleagues.",Aircraft Development
The flight has been delayed for1 hour due to a child Ms Jarwar claimed was not well because of a high fever traveling with her family.,Aircraft Development
The customer would like to have a FPML requested on his behalf.,Aircraft Development
The crew rest time for this sector was 2hrs 10 minutes. Since the load was light in all classes an extra half an hour was allocated to crew members i.e. the rest period for this sector was 2hrs. 40 minutes and  ample amount of time allocated for the service.,Aircraft Development
The chicken option in this sector was popular.More than 30 customers did not have their preferred meal which was the chicken.,Aircraft Development
Tea and coffee cancelled for the Lunch Service after take off  On the briefing room in Dubai captain advised that moderate turbulence would be felt for the first six hours of the flight.  Actually flying time 07h40.  The Lunch service had to be interrupted twice for 30 minutes as moderate turbulence was felt at that time.  Captain requested for cabin crew to be seated.,Aircraft Development
"Subject: Mr Parratte was found the blanket wet upon open it  During boarding, Mr Parratte informed crew member that he found the blanket on his seat is wet when he opened it",Aircraft Development
Sub : Spml stickers could not be printed.# SPML stickers could not be printed as the printer showed a message that the printer was offline.# Kiss tablet showed that the printer was connected.,Aircraft Development
SPML Request Customer request for a VGML during the meal service.,Aircraft Development
