Cash Upgrade Not showing as skywards member Mr Mermit paid cash.	Aircraft Development
"We had one customer in FC on this sector.He was welcomes and escorted to his seat.He enjoyed short breakfast, and was looking forward to his connecting trip to Houston.No suggestions or complaints were received."	Aircraft Development
Water leak  In flight water started leaking from an unknown source from mid YC galley.  Floor at row 38DEFG was soaked.	Aircraft Development
VGML RequestCustomer forgot to order	Aircraft Development
"Verbal abuse  During descent , Customer was having espresso in the lounge.  I approached customer enquiring about his flight experience . Customer stated that we had a great crew . Crew Jasna Preseli 416919 was standing in the lounge . I asked crew if she is ready for landing . "	Aircraft Development
"USE OF MOBILE DEVICE ON BOARD: After the lunch service, during the we care cycle,Stephanie was observed using her mobile phone in the upper deck ,economy class galley."	Aircraft Development
"USE OF LAVATORIES DURING HEAD COUNT AND BAGGAGE ID While head count was conducted, Mr Hosseini requested from crew Christine #444339 to use the lavatory. Crew politely explained to customer the procedure we are in reminding him the PA that was made requesting customers' cooperation. "	Aircraft Development
"UNHAPPY CUSTOMERS BECAUSE OF SHORTAGE OF CHICKEN CHICKEN UNAVAILABLE  more than 15 customers requested for chicken as their hot meal option, however we could not accommodate everyone's request  customers seated in 33ABC were very upset that they did not get their chicken request  ms. Ansari, seated in 33B and customer at 35D were given chicken meal from J class, the only ones that were available. Customer at 35D appreciated the effort and took the chicken. "	Aircraft Development
"Unhappy Customer Mr Uga found a piece of paper at the side of his seat during boarding. After few minutes, he claimed that his Evian water bottle in the mini bar was opened. He informed CM Pawel regarding the issues. After take off, he commented that his seat doesn't go flats bed to Purser Nedjm."	Aircraft Development
Two duty free items were missing.Items numbers: 2061  drawer 51903   drawer6Duty free cart number: 1052.	Aircraft Development
This report to highlight the excellent performance of Colette 450898.Colette arrived early to briefing introduced her self to seniors and hand over documents for check.During briefing was interactive and shared her previous experience for the flight.Colette answered safe talk with confidence.	Aircraft Development
This report is not related payroll.As my K.I.S did not uplifted the data fully all the position allocated to the crew are not up to date.	Aircraft Development
This report is not related Hotel feedback its related reporting On time for pick up at layover.Ms.Gheany reported late for pickup and few crew and Me and Captain were worried.Luckily no bus involved for commuting we did not face any inconvenience.	Aircraft Development
"The ideal Crew member  I have just had the pleasure of flying with Elena to JED.  She was so proactive  she prepared all the drawers of drinks on ground for both sectors, she organised and tidied the galley  all without being asked.  Elena was always smiling and assisting her colleagues and displayed positive body language at all times.  She was alwaus available for customers and her colleagues."	Aircraft Development
The flight has been delayed for1 hour due to a child Ms Jarwar claimed was not well because of a high fever traveling with her family.	Aircraft Development
The customer would like to have a FPML requested on his behalf.	Aircraft Development
The crew rest time for this sector was 2hrs 10 minutes. Since the load was light in all classes an extra half an hour was allocated to crew members i.e. the rest period for this sector was 2hrs. 40 minutes and  ample amount of time allocated for the service.	Aircraft Development
The chicken option in this sector was popular.More than 30 customers did not have their preferred meal which was the chicken.	Aircraft Development
Tea and coffee cancelled for the Lunch Service after take off  On the briefing room in Dubai captain advised that moderate turbulence would be felt for the first six hours of the flight.  Actually flying time 07h40.  The Lunch service had to be interrupted twice for 30 minutes as moderate turbulence was felt at that time.  Captain requested for cabin crew to be seated.	Aircraft Development
"Subject: Mr Parratte was found the blanket wet upon open it  During boarding, Mr Parratte informed crew member that he found the blanket on his seat is wet when he opened it"	Aircraft Development
Sub : Spml stickers could not be printed.# SPML stickers could not be printed as the printer showed a message that the printer was offline.# Kiss tablet showed that the printer was connected.	Aircraft Development
SPML Request Customer request for a VGML during the meal service.	Aircraft Development
Special Meal Delivery Mrs Chang was very upset at not receiving her child meal for her son in 86F for the second meal service. Mrs Chang and her family moved from their original seats. Mrs Chang received the meal on the 1st meal service as the new eats they occupied had also had a child meal ordered and had not yet let us know at this stage that they had also moved. 	Aircraft Development
Shortage of Omelette There was a shortage of Omelette .Most of the customers preferred Omelette for breakfast.Customer had requested for French toast for breakfast.Customer also requested crew to serve him breakfast after an hour.After enjoying the French toast meal customer requested for Omelette from the menu.At this stage all the omelette meals from FC were offered to customers.	Aircraft Development
"Shortage of lounge snacks.An hour before breakfast service, there was no more petit fours, fruits and Arabic sweets left to serve.We only have few sandwiches left for the lounge.No complains received from customers."	Aircraft Development
Requested for the cheese board 30 minutes prior to top of descent	Aircraft Development
REQUEST FOR CHML.Mrs. List has made a request to Add a CHML on her profile when she travels with her Daughter Michaella.	Aircraft Development
Request AVML for his future flight	Aircraft Development
No Flight final received Unable to synchronize flight closing on Purser 383930 tablet Attempts on Wifi and mobile data nil help Restarting tablet Nil help Majority of customer information missing	Aircraft Development
Mrs. Kaur didn't order vegetarian meal.During the meal service Mrs. Kaur mentioned that she is vegetarian however she did not pre order a vegetarian option.	Aircraft Development
"MRS Girot requested an upgrade to FC, I was not able to complete the transaction on the KIs tablet as 3F the only available seat in FC was blocked on the system.Please deduct 30000 miles from Mrs Girot account as she was upgraded to FC."	Aircraft Development
