"When we tried to publish the inventory, the system kept giving us in red that the variance should be zero. We could not publish the inventory although all devices were synced and the flight closed. I tried resetting the F&B application .",Reduced
When I counted items in drawer 4 item 2085 Gucci bloom EDP100ml was missing. Crew 442176 was a witness.,Soft Blocked Seats
"Upset Seating  After take off Miss Lochs informed that it is unprofessional on emirates that they are made to seat in different seat, even though she is travelling with family  She informed that she had checked in online and still she wasn't given seats together",Disturbed
Unable to fully close flight in DXB .,Soft Blocked Seats
Unable to complete My Flight Performance.My grade is still PSP and I am unable to assign review on CSV Esraa Dagwood 414544.,Rest Strategies
UM was well looked after throughput the flight,CRC
"UM  Mstr Afrasiab and his brother boarded the aircraft fine,   They had cookies and chocolates of their own once they reached their seats,   They had chicken for lunch   They were seen watching movies during the flight and had juices   They were escorted and handed over to ground staff after landing",CRC
Sub Platinum Member looked after WellPlease be advised that Mr. Hartel was personally Welcomed on board by my self on ground in Dxb.Customer declined the menu and wanted to sleep through out the flight.,Rest Strategies
Shortage of immigration forms  There was shortage of immigration forms on today's flight  Forms were available for foreign customers only   1/3 of the cabin wasn't offered cards.,Reduced
Shortage of female kitbagsApproximately 6 female customers didn't receive female kitbags.,Soft Blocked Seats
"Seatbelt was too tight  while securing the cabin crew asked Mr Soltanishayan to put his seatbelt on.  Mr Soltanishayan agreed and took action.   During the take off customer start waving at the crew and appeared stressed out.  Once crew came to check, customer claimed that seatbelt was too tight.",Extended
REQUESTING HNML  Mr yadav stated that he would like to book  HNML for all future flights with emirates .,Rest Strategies
"Crew rest strategies (EK328  There were some confusion regarding the  crew rest strategies on this flight, crew who had done this trip told me they were given a crew rest.  I have discussed with the captain regarding the crew rest, as on this sector the flight times is about 07 hrs 20 mins and on the return we are deadheading back and not operating the flight, therefore crew rest was not assigned for this sector.",Extended
"General Feedback.   customer and His mother boarded the aircraft seeking an upgrade for their brother/son who was seated in Economy.   after take off, the customer experienced an issue with the IFE, with the screen continuously flickering and bring up a navigation bar at the bottom of the screen.   the customer moved over to 26 J, but after it was fixed through the SPM toggle, he moved to his original seat of 25F.   after a while the IFE, started doing the same issue, and the customer moved back to 26J with out any feedback given.",Reduced
"Professional behaviour Teamwork Image and Uniform  On first sector it was observed that Dunja's nails were too long and stiletto shape. Also she was addressed to fix her scarf ,because she wrapped it tightly around her neck.   She was also seen walking through the airport with her winter coat open and scarf hanging out and messy hair on the second sector. ",Curtains/Hardblocked
On this flight Karl's mother informed the crew that he has toothache.Mrs. Strese have asked for pain reliever.,Rest Strategies
"On board WiFi Customer was not happy that when he signs in on IPad for his children using his email, the other child's iPad will be bumped off from connection. ",CRC
No headset bag available out of Melbourne.Headsets collected and placed in a blanket bag.,CRC
MOD NOT USED FOR INBOUND LEG It was observed where purser's KIS tablet was defective and information could not be obtained.,Reduced
missing item df cart 176   2093 drawer 7 Givenchy Dahlia Divine nude,Rest Strategies
MILK JIGGER and MILK Y CLASS SHORTAGE  No milk jiggers available and or Milk cartons available.  Milk Shortage affected the cabin.,Reduced
Lounge Menu Stand Lounge menu stand was not loaded therefore menu was not displayed at the lounge.,Disturbed
LOUNGE ICE BUCKET MISSING   We couldn't locate it anywhere,Disturbed
KIS Tablet cannot edit the distribution of meals,Rest Strategies
"Julie had shortfalls with grooming and service.  She has roots and streaks/stripes highlights obvious visible which does not match standards.  Her shoes were not maintained and not clean.  She did not contribute to an active boarding and she was standing watching customers pass by neither she greeted them nor she helped them to their seats, though she was asked by me more than two times to participate in grooming.",Disturbed
IFE INOPCustomer complaint during the flight that the IFE screen is inop.,Disturbed
IFE Inop for the seat of Mr. HABANNAKEH.,Reduced
"IFE INOP 29D.  Customer was sitting in 29D , her IFE was inoperative for the flight .",Extended
"Hot towels were not offered after the meal service, due to cabin preparation for landing.Toys were not offered before take off, due to sort taxi.",Disturbed
HOT BEVERAGES   Hot beverages were suspended half way through Breakfast service due to turbulence.,Soft Blocked Seats
HHC s41280 is dysfunctional as when I tried to sell an item a Watch guess ladies rose gold watch # 1769 the price was not showing on the HHC.,CRC
GLASS JUGS WERE NOT LOADED FOR THE LOUNGE glass jugs to display fresh juices were not loaded by catering for the flight . Crew checked all carts but didn't found them.,Disturbed
General in dissatisfaction with Emirates  Seat reclining  E mail for online check in  lack of help from online chat with Judith (helpline)  unable to choose seat  Wine choice dissatisfaction  Customer mentioned Emirates service quality decreased and Turkish airlines (500 USD cheaper then EK). ,CRC
"FIRST CLASS EXPERIENCE Our customers enjoyed their flight today Ms Manuel commented that people shouldn't be using the shower before she had a chance to get changed into her pyjamas, although the First Class lavatory was free she said she would ""try"" to get changed in their.",Extended
First Class customer experienceAll first class customers had to board from ML1.Purser welcomed them by name at ML1 and directed them to FC crew waiting at the top of the stairs along with JC CSV to escort them to their respective seats.All customers were escorted to their seats and given seat and facilities introduction.All pre departure items were given out.4 customers enjoyed the shower spa during the flight.All the customers wanted to sleep for most of the flight.3 customers ordered breakfast prior to landing.,Reduced
FC CATERING CHOICED DECLINEDThe following items had to be declined to customers due to insufficient loading: Sweet potato veg (A la carte vegetables) Chicken main meal,Soft Blocked Seats
DUTY FREE PRICE DISCREPANCY  item number 2054 7 sold (marbles come alive sticker set) magazine shows $20 however hand held shows $21,Disturbed
During take off we have noticed that customer kept a newspaper on the seat cushion to sit on.During Cabin cleanliness check seat was not wet.We offered him if he would like to swap seat but customer did not want to change seat.,Rest Strategies
"Delayed in Towels and Duty free service.As there was only 30 mins left between 02services due to turbulence , delay the CB as crew were advised to be seated by captain (initial part of the flight). On the other there was one crew short in y/c.",Reduced
Customer started vomiting by top of decent.customer felt faint and weak.he vomited several times.,CRC
Customer started vomiting and informed crew he was not feeling well.,Soft Blocked Seats
Customer seat function were inoperative shortly after take off and despite 2 reset was unable to move his seat.,Soft Blocked Seats
Customer mode controller inop Shortly after take off Mr Marajh highlighted to purser Alyssa that his Mode controller was not coming out of the socket,Rest Strategies
Customer meal preference not available due to its popularity to other customers. Customer preferred to have chicken but unfortunately this option was very popular and instead she was offered beef.,Reduced
