YOGHURT NOT LOADED ON BREAKFAST TRAYSPlease be informed that yoghurt was not loaded on EY meal trays for the breakfast service.,Seals
"Wrong meal choice During breakfast service, cabin crew Aldo noticed 5 meals that weren't from the menu. Breakfast menu options were omelette and scrambled eggs, and one oven insert was full of chicken.",Duty Free Items
"WORKED OUT OF GRADE  Karim worked in JC for both sectors, DXB KRT DXB.",Seals
WORKED AS FG1   Please note that Noreen Binti Saleh operated in the First Class cabin on January the 21st 2018 on trip number,Paper Work
Wine glass not clean Mrs Camard claimed that her wine glass was not very clean.,Seals
Wifi password didn't work  Customer wanted to log in with the on board wifi using his skywards member # and his own password but for some reason it didn't log in  Customer claimed on his previous flights it was working,Duty Free Items
"Wifi Login Skyward Details  Mrs.Sarah was unable to log into her skyward account, to use the WiFi as she kept entering the incorrect password.  Customer at first complained, she was unable to log onto the WIFI with any of her three devices. ",Duty Free Items
WIFI did not work on the flight.Lot of customers complained about the WIFI.,Seals
"Whilst opening DF cart 830  the computer had only 2  opening seal number entered in it. Even though if I was trying to enter it manually , it had a msg displayed,  the number of seals exceeded . Same thing occurred during closing as well. Only 1 seal number was entered in the computer.",Equipment
"While disembarking the aircraft, customer Adel Chebbi, came closer to check my name badge while I was assisting another customer. He then said loudly to his wife“she’s a fucking chinese” (customer words) before leaving the aircraft.",Duty Free Items
"While boarding customer in HKG,  Ground Staff informed him that his travel documents will be held by  the Purser,I received the customer as well as documents, Customer was unhappy that he could have his passport.I welcomed him on board and explained that I will be holding his documents and once I reach Dubai, his documents will be handed over to the Ground personal.",Equipment
"When welcoming the customer after take off, customer requested for nespresso from premium cabin.",Duty Free Items
When counting duty free cart I noticed Item(1 million prove EDT) was broken.,Equipment
"WHEELCHAIR TOOK LONG TO COME Mr Simon stated "" this is ridiculous why the wheelchair is taking so long"". Customer stayed that it has been 20 minutes waiting for a whe.",Duty Free Items
Welcomed all the customers in  and escorted them to the suite.Introduced myself and the crew.Looked after the well being for our customers for entire trip.Briefed the crew.,Duty Free Items
Welcome drinks not offered on time. Mr Elavia travelling with Miss Sarasota were among the last customers to board. ,Duty Free Items
"We had 3  customers, 2 hot meal and 2 cold plate was loaded.Flight was late for 2hours and 2 customers wanted cold plate.",Seals
We did not have enough blanket bags loaded for both sectors.,Seals
We care service could not be done due to turbulence.The first part of we care cleanliness was done 1815 to 1830.The second and third part of we care cycle was not done from 1830to 1900.Seatbelt sign remained on from 1700 to 2000.,Seals
"Wanted To Use The Toilet While Seat Belt Sign Was On.  Ms Atarashi wanted to use the toilet while the seat belt sign was switched on and the captain had instructed the crew to sit take their seats as well.  A crew member asked her to return to her seat, she was upset by this because she felt the seat belt sign had been on for a long time.",Duty Free Items
VOMITING  After take off customer vomited and asked for more sick bags. and claimed that she was feeling breathless.MIRF no  363518,Seals
Vomiting Miss Connolly vomited once as we were approaching top of decent.,Duty Free Items
VJML REQUEST .Please order a vegetarian Jain meal VJML for the customer next sector .,Duty Free Items
"VIP customer seated 8A no complaint from customer  however, when customer boarded I attempted to assist him to his seat but he walked off as I was trying to speak to him  I was unable to leave the door to follow him  Cabin Supervisor followed customer and helped him to his seat  customer was very quiet and didnt seem to want to speak to us after landing I motioned to customer to come to L1 door to meet his escort but customer appeared to ignore my and walked out of L2 door unassisted.",Seals
VGML Mrs. Umraw claimed that there was no option or choice to choose a special meal during booking. She was not happy and claimed that she can not eat a normal meal.,Duty Free Items
VGML CATERED INSTEAD OF AVML Kindly note that as per the customer he always receives AVML. On this sector Vgml was catered and was rejected by the customer.,Duty Free Items
"VERBAL ABUSIVE. customer moved to sit on 16K which was not his original seat. During the bar service when the crew were taking his order, they could not understand him. He turned to the customer seated on 16H and told her ""F... them."" During the Breakfast service he told the male crew Arabic crew  (Hafez) that he wanted to have the ""Halal pork."" ",Seals
Vegetarian Meal RequestMs Legrand wanted to have a vegetarian meal but said she did not have the opportunity to request it in advance,DF Done Nil Sales
Vegetarian meal option  Mrs Thompson stated he was unaware if he has ordered a vegetarian meal option or not,DF Done Nil Sales
VEAL SHORTAGE  1x of each main course loaded  1x veal consumed at the beginning of the flight by 3K  this customer also requested the veal approximately 2hours into the flight,Duty Free Items
"Validating F/C customer experience: On ground F/C crew were briefed about F/C customer and any special observations or preferences.  Myself and F/C crew welcomed customers and escorted them to their seats.  F/C crew introduced themselves, and completed settling in duties.  ",Seals
Validating customers' on board experience.  Customers welcomed on ground.,Duty Free Items
