YP special handling.,Payroll adjustments
WRONG SEAL TYPED IN THE HHC DF 1194  Elena Rata operator GR1 during opening of the DF cart she introduce the closing seals in the HHC 7500797146 7500797147 7500797148,Hotel Feedback
Wrong metal seals used on one container of DF537 and one container of DF538.2 seals were mistakenly swapped during the sealing and logging off process.,Hotel Feedback
"Without being asked he took out a foundation bag and placed in the CWS for the purser.He was observed spending a lot of time with children throughout the flight and used the camera several times to make someone's day even before top of descent.He was a great team worker and assisted his colleaguesHe visited every galley and had conversation with crew from business class and first classHe organized a meal for one crew who could not eat the only option left, she was really surprised.He asked a lot of questions about first class product and showed a genuine interest for first class productsHe introduced himself to the UM and looked after her throughout the flight.He made conversation with her and entertained her.He had a great and positive body language and all crew got really along with him.His smile and his positive attitude and his great communication skills make him a great asset for Emirates",Payroll adjustments
WINTER COAT Jennifer did not have winter coat with her She stated that the uniform store did not have them anymore,Compliments
Wifi inopWifi was not working on the first sector,Compliments
WIFI Inoperative for short period of time Customer raised a complaint regarding WIFI being inoperative at the beginning of the flight,Compliments
WIFI Inoperative for short period of time Customer raised a complaint regarding WIFI being inoperative at the beginning of the flight,Compliments
WIFI inopCustomers informed me that wifi was not working,Payroll adjustments
"Whilst opening duty free cart DF829 I was trying to accept 3 opening seals however it wouldn't let me, I tried to manually type them in and it wouldn't accept that either. The same problem occurred upon closing my duty free cart, it would only let me enter one closing seal number.",Compliments
"While passengers were disembarking from L2 door upon arrival to HAM,GR1 Yerin was assisting a YC WCHR to disembark.She was standing behind him, since they were another crew members on the other side.Customer trip and fell accidentally on the air bridge, and accidentally also Yerin fell behind him.Yerin claimed that she had little pain ( 4/10 scale)She had very little bruises on both left and right knees, and both palms of her hands since she landed on them.Yerin claimed that she applied ice and took anti inflammatory tablets in her room.Yerin claimed that she's feeling good.Yerin completed the flight.PUR Johnny filled up an accident report form #80279Witness : CSV Ilian #378120CAP: Jean Gregoire #147766All above mentioned crew signed the form.",Compliments
"While I was transerring out the item: 2034  9, from my duty free cart with number DF167, accidentally I put the wrong staff number for the fellow crew that asked me the transfer. Instead of putting the staff number of the other duty free operator Fouad 415546, by mistake I put an other staff number which was 415596. The ISR Number of Fouad was 117112670001 and the duty free cart was DF168.",Hotel Feedback
"While Economy started doing Tea and Coffee service in the cabin, Seat belt sign illuminated.Captain informed me that he is expecting Moderate Turbulence and does not want any hot beverage service in the cabin.",Complaints
While counting duty free cart item number (2062 2 Polaroid Kids Sun glasses) was found missing,Compliments
While checking  out from the hotel in Auckland (Pullman))Crew had to wait a fifteen minutes for the bus to arrive .,Complaints
"When Mrs Hutcheson boarded the aircraft, she was quite upset as she was expecting to be on the direct flight to DXB",Payroll adjustments
"When I went to start duty free the machine did not turn on, even after doing a battery change and resetting still the machine did not work. There was no closing stock from previous flight in the cart so could not be done Manually ether. The opening seals were A008917995 , A008917994, A008917999. Closing seals 7500790061, 7500790060,7500790062.",Payroll adjustments
When I was talking to Mr Dimmell he informed me that he was not happy with how the flight was going. When I asked him about the reason Mr Dimmell replied that he wanted things to work.Mr Dimmell's handset was not working so I made sure to reset it for him on the spot I went back to check up on the handset Mr dimmell informed again that it is not acceptable that he put his phone to charge 5 Hours ago and its been charging very slowly and on top it all the internet was not working. I informed Mr dimmell that we are passing through an area when there is no connectivity. Mr dimmell did not accept my explanation insisting that things should work on emirates.,Payroll adjustments
"When I was doing Duty Free, I had a credit card sale for $48 (175 AED), the cc machine jammed the paper and the receipt requesting customers signature didn't come out because the roll of the paper receipt finished.",Hotel Feedback
When I opened DF cart #929 and signed in HHC. Then I found the number of the HHC was #930.,Compliments
"When arrived to the hotel lobby after the flight was completed, crew member Jayde S. 404522 stated that she hurt her LHS foot's inner part  when she was pulling double meal cart out of its stowage in the FC galley during rush time of the FC service.I witnessed the accident, but at the accident time Jayden screamed once from the pain and didn't complain about the pain till we arrived at the hotel lobby.",Compliments
"WHEELCHAIR ISSUE:   Mr Johnson required a wheelchair as he cannot go up or down steps due to a slipped disc in his back   He mentioned to the purser that when booking his wheelchair for this particular flight, he found it difficult to communicate with ""Maryam""   He cannot walk properly and is in pain when he does so his walking is very limited   He claims he was told that he can only get the wheelchair from the check in counter when he requested to have one meet him from his car at the drop off point   Mr Johnson is part of a hotel group and is considering taking his business elsewhere if his needs and requests are not taken seriously   Mr Johnson had no complaints on this flight and was very happy with the crew performance   Mobile: +971 56 992 2267  Telephone: +971 4 390 0070  Email: anthony.johnson@carsonrezidor.com",Hotel Feedback
Wet floor  customer informed us the floor in front of her seat is wet and her belonging got wet,Complaints
We were unable to get the flight final in DSS.Synchronisation kept on disconnecting in DSS.,Compliments
"We used 3 meals carts from previous sector for the service I found out some of the desserts on the tray were different from the menu during previous flight. I realised 3 used meal carts from mid galley were from this sector. Galley operator EVA 409852 told me she has mistaken the menu descriptions from the tray, so she took the second service carts out on previous flight by mistake.",Compliments
We ran out of tonic water in all three cabins.We ran short of martini glasses in the j class,Compliments
"We ran out of small bottles of water both in f/c and also in j/c during flight. There was none left to replenish the j/c seats, f/c suite bars,lounge and social area.  The percentage provided is insufficient for a full load flight like this.",Compliments
"We ran out of salad and cheese on this sector.We had a load of 7 passengers (config 8)We were catered one small pack of cheese with 4 slices of each cheese inside. We had one set of salad which contained a small bag of lettuce and 2 x prawn proteins and 2 x beef proteins. Several passengers wanted only a green salad without the protein, however we did not have enough.We would have offered a crew salad instead however, as usual, the crew salad was brown and inedible.",Compliments
We ran out of orange juice.  Catering loaded 14 orange juices in YC.,Compliments
"We ran out of nuts on this flight and teaspoons on this flight,Also no tomato ketchup or chips in dry stores.",Compliments
"We only had one customer in FC today.He was properly welcomed and escorted to his suite.He decided not to eat anything, but had one query, about our landing time, since he wanted to know if he is going to have enough tome to pray on board.He managed to do it, and other than that, he did not have any comments or complaints, and he enjoyed this short trip.",Compliments
We left the EGHQ 3 mn late as 1 crew was pulled out and we were asked to wait .Then we decided to go to avoid any more delay and the crew joined on board..,Compliments
"WE HAD SHORTAGE OF TOOTH BRUSHES KIT FOR TOILETS.  We did not have enough tooth brushes kits to replenish in the toilet.  We checked the toiletry container placed in economy, but there were none left.",Compliments
"Walking Through First Class, Ignoring Crew   Several times Mr. Rognoni walked through the First Class cabin and went downstairs to chat with his colleague in the Economy cabin.",Payroll adjustments
"VOMITING/PALE  When crew were securing the cabin for landing, customer stated to CSV Sarika Kankanamge (391273) that she had vomited twice, was feeling nauseous and felt like she may start having diarrhoea.  SAMPLE taken and it was determined it may be suspected food poisoning.  Customer declined oxygen.  She declined the use of tempus.  She refused any treatment from us stating she would be fine.  She was monitored for the remainder of the flight (approx. 30 minutes).  As she was disembarking, she came to me at the door and stated she had vomited 6 times in flight, felt very nauseous and may start having diarrhoea. She appeared very pale.  No details given by customer for MIRF as she wanted to leave the aircraft and go to medical services. She again declined our assistance.",Payroll adjustments
void,Hotel Feedback
VGML REQUEST.Ms. McCormick liked to have VGML.please provide VGML on her next flight.,Payroll adjustments
VGML REQUEST  Please cater vgml for customer's connecting flights.,Payroll adjustments
VGML NOT PROVIDED  Customer claimed he ordered VGML  Customer said he booked through agency and VGML was confirm.  Customer  requested the chicken option (2 casseroles)  Customer asked he J class or F class would have VGML  Customer requested fruits.,Payroll adjustments
USB cable of the KIS printer is damaged.,Hotel Feedback
"Upset customer During boarding, customer informed me that he is unhappy as he boarded together with economy class customers. He also stated that he checked in 4 hours prior to the flight however he did not get his preferred seats for his family.  He said that he does not want to seat at the very back of J/C.",Payroll adjustments
